id,title,content,description,mapurl,latitude,longitude,imageurl,picture
1,경영학부 A섹션,우리 주점 맛있어요~ 꼭 와주세요^^,R관 앞,http://map.naver.com/?elng=ab0999e9a0212d3202d81aa024b0beea&eelat=0331015e9245b400334418fe1d966504&elat=80f3bde976b834be868a2ac957751e0f&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EB%A6%AC%EC%B0%8C%EA%B3%BC%ED%95%99%EA%B4%80&eelng=af034de9869f92e0fce732f2cc083ed7,37.550027,126.940978,goo.gl/CW6aKe,bar_default.jpeg
2,경영학부 B섹션,우리 주점 맛있어요~ 꼭 와주세요^^,R관 앞,http://map.naver.com/?elng=ab0999e9a0212d3202d81aa024b0beea&eelat=0331015e9245b400334418fe1d966504&elat=80f3bde976b834be868a2ac957751e0f&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EB%A6%AC%EC%B0%8C%EA%B3%BC%ED%95%99%EA%B4%80&eelng=af034de9869f92e0fce732f2cc083ed7,37.550027,126.940978,goo.gl/CW7aKe,bar_default.jpeg
3,경영학부 C섹션,우리 주점 맛있어요~ 꼭 와주세요^^,R관 앞,http://map.naver.com/?elng=ab0999e9a0212d3202d81aa024b0beea&eelat=0331015e9245b400334418fe1d966504&elat=80f3bde976b834be868a2ac957751e0f&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EB%A6%AC%EC%B0%8C%EA%B3%BC%ED%95%99%EA%B4%80&eelng=af034de9869f92e0fce732f2cc083ed7,37.550027,126.940978,goo.gl/CW8aKe,bar_default.jpeg
4,경영학부 D섹션,우리 주점 맛있어요~ 꼭 와주세요^^,R관 앞,http://map.naver.com/?elng=ab0999e9a0212d3202d81aa024b0beea&eelat=0331015e9245b400334418fe1d966504&elat=80f3bde976b834be868a2ac957751e0f&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EB%A6%AC%EC%B0%8C%EA%B3%BC%ED%95%99%EA%B4%80&eelng=af034de9869f92e0fce732f2cc083ed7,37.550027,126.940978,goo.gl/CW9aKe,bar_default.jpeg
5,경영학부 E섹션,우리 주점 맛있어요~ 꼭 와주세요^^,R관 앞,http://map.naver.com/?elng=ab0999e9a0212d3202d81aa024b0beea&eelat=0331015e9245b400334418fe1d966504&elat=80f3bde976b834be868a2ac957751e0f&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EB%A6%AC%EC%B0%8C%EA%B3%BC%ED%95%99%EA%B4%80&eelng=af034de9869f92e0fce732f2cc083ed7,37.550027,126.940978,goo.gl/CW10aKe,bar_default.jpeg
6,경제학부 A섹션,우리 주점 맛있어요~ 꼭 와주세요^^,K관 앞,http://map.naver.com/?eelng=&elng=80e9b6f553a8786c37006ea559b7e9fe&eelat=&elat=08117e062878a3d98d4dbb6f3d4a71c3&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EA%B9%80%EB%8C%80%EA%B1%B4%EA%B4%80,37.550194,126.939885,goo.gl/CW11aKe,bar_default.jpeg
7,경제학부B섹션,우리 주점 맛있어요~ 꼭 와주세요^^,K관 앞,http://map.naver.com/?eelng=&elng=80e9b6f553a8786c37006ea559b7e9fe&eelat=&elat=08117e062878a3d98d4dbb6f3d4a71c3&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EA%B9%80%EB%8C%80%EA%B1%B4%EA%B4%80,37.550194,126.939885,goo.gl/CW12aKe,bar_default.jpeg
8,경제학부 C섹션,우리 주점 맛있어요~ 꼭 와주세요^^,K관 앞,http://map.naver.com/?eelng=&elng=80e9b6f553a8786c37006ea559b7e9fe&eelat=&elat=08117e062878a3d98d4dbb6f3d4a71c3&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EA%B9%80%EB%8C%80%EA%B1%B4%EA%B4%80,37.550194,126.939885,goo.gl/CW13aKe,bar_default.jpeg
9,경제학부 D섹션,우리 주점 맛있어요~ 꼭 와주세요^^,K관 앞,http://map.naver.com/?eelng=&elng=80e9b6f553a8786c37006ea559b7e9fe&eelat=&elat=08117e062878a3d98d4dbb6f3d4a71c3&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EA%B9%80%EB%8C%80%EA%B1%B4%EA%B4%80,37.550194,126.939885,goo.gl/CW14aKe,bar_default.jpeg
10,경제학부 E섹션,우리 주점 맛있어요~ 꼭 와주세요^^,K관 앞,http://map.naver.com/?eelng=&elng=80e9b6f553a8786c37006ea559b7e9fe&eelat=&elat=08117e062878a3d98d4dbb6f3d4a71c3&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EA%B9%80%EB%8C%80%EA%B1%B4%EA%B4%80,37.550194,126.939885,goo.gl/CW15aKe,bar_default.jpeg
11,자연과학부 수학과,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551253,126.939445,goo.gl/CW16aKe,bar_default.jpeg
12,자연과학부 물리학과,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551253,126.939445,goo.gl/CW17aKe,bar_default.jpeg
13,자연과학부 생명과학과,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551253,126.939445,goo.gl/CW18aKe,bar_default.jpeg
